province,country,latitude,longitude,category,utc_20200303,utc_20200304,utc_20200305,utc_20200306,utc_20200307,utc_20200308,utc_20200309,utc_20200310,utc_20200311,utc_20200312,utc_20200313,utc_20200314,utc_20200315,utc_20200316,utc_20200317,utc_20200318,utc_20200319,utc_20200320,utc_20200321,utc_20200322,utc_20200323,utc_20200324,utc_20200325,utc_20200326,utc_20200327,utc_20200328,utc_20200329,utc_20200330,utc_20200331,utc_20200401,utc_20200402,utc_20200403,utc_20200404,utc_20200405,utc_20200406,utc_20200407,utc_20200408,utc_20200409,utc_20200410,utc_20200411,utc_20200412,utc_20200413,utc_20200414,utc_20200415,utc_20200416,utc_20200417,utc_20200418,utc_20200419,utc_20200420,utc_20200421,utc_20200422,utc_20200423,utc_20200424,utc_20200425,utc_20200426,utc_20200427,utc_20200428,utc_20200429,utc_20200430,utc_20200501,utc_20200502,utc_20200503,utc_20200504,utc_20200505,utc_20200506,utc_20200507,utc_20200508,utc_20200509,utc_20200510,utc_20200511,utc_20200512,utc_20200513,utc_20200514,utc_20200515,utc_20200516,utc_20200517,utc_20200518,utc_20200519,utc_20200520,utc_20200521,utc_20200522,utc_20200523,utc_20200524,utc_20200525,utc_20200526,utc_20200527,utc_20200528,utc_20200529,utc_20200530,utc_20200531,utc_20200601,utc_20200602,utc_20200603,utc_20200604,utc_20200605,utc_20200606,utc_20200607,utc_20200608,utc_20200609,utc_20200610,utc_20200611,utc_20200612,utc_20200613,utc_20200614,utc_20200615,utc_20200616,utc_20200617,utc_20200618,utc_20200619,utc_20200620,utc_20200621,utc_20200622,utc_20200623,utc_20200624,utc_20200625,utc_20200626,utc_20200627,utc_20200628,utc_20200629,utc_20200630,utc_20200701,utc_20200702,utc_20200703,utc_20200704,utc_20200705,utc_20200706,utc_20200707,utc_20200708,utc_20200709,utc_20200710,utc_20200711,utc_20200712,utc_20200713,utc_20200714,utc_20200715,utc_20200716,utc_20200717,utc_20200718,utc_20200719,utc_20200720,utc_20200721,utc_20200722,utc_20200723,utc_20200724,utc_20200725,utc_20200726,utc_20200727,utc_20200728,utc_20200729,utc_20200730,utc_20200731,utc_20200801,utc_20200802,utc_20200803,utc_20200804,utc_20200805,utc_20200806,utc_20200807,utc_20200808,utc_20200809,utc_20200810,utc_20200811,utc_20200812,utc_20200813,utc_20200814,utc_20200815,utc_20200816,utc_20200817,utc_20200818,utc_20200819,utc_20200820,utc_20200821,utc_20200822,utc_20200823,utc_20200824,utc_20200825,utc_20200826,utc_20200827,utc_20200828,utc_20200829,utc_20200830,utc_20200831,utc_20200901,utc_20200902,utc_20200903,utc_20200904,utc_20200905
,Chile,-33.4475,-70.6737,confirmed,1,3,4,5,7,10,15,17,23,33,43,61,75,156,201,238,342,434,537,632,746,922,1142,1306,1610,1909,2139,2449,2738,3031,3404,3737,4161,4471,4815,5116,5546,5972,6501,6927,7213,7525,7917,8273,8807,9252,9730,10088,10507,10832,11296,11812,12306,12858,13331,13813,14365,15135,16023,17008,18435,19663,20643,22016,23048,24581,25972,27219,28866,30063,31721,34381,37040,39542,41428,43781,46059,49579,53617,57581,61857,65393,69102,73997,77961,82289,86943,90638,94858,99688,105159,108686,113628,118292,122499,127745,134150,138846,142759,148496,154092,160846,167355,174293,179436,184449,220628,225103,231393,236748,242355,246963,250767,254416,259064,263360,267766,271982,275999,279393,282043,284541,288089,291847,295532,298557,301019,303083,306216,309274,312029,315041,317657,319493,321205,323698,326539,328846,330930,333029,334683,336402,338759,341304,343592,345790,347923,349800,351575,353536,355667,357658,359731,361493,362962,364723,366671,368825,371023,373056,375044,376616,378168,380034,382111,383902,385946,387502,388855,390037,391849,393769,395708,397665,399568,400985,402365,404102,405972,408009,409974,411726,413145,414739,416501,418469,420434
,Chile,-33.4475,-70.6737,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236154,241229,245443,249247,253343,257445,261032,264371,268245,271703,274922,278053,280161,283902,286556,289220,292085,295301,296814,299449,301794,303992,306816,309241,311431,313696,316169,318095,319954,322332,324557,326628,328327,330507,332411,333976,336330,338291,340168,342168,344133,345826,347342,349541,351419,353131,355037,356951,358828,360385,362440,364285,366063,367897,369730,371179,372464,374463,376268,377922,379452,381183,382584,383879,385790,387683,389409,391248,392967
,Chile,-33.4475,-70.6737,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,7,8,12,16,18,22,27,34,37,43,48,57,65,73,80,82,92,94,105,116,126,133,139,147,160,168,174,181,189,198,207,216,227,234,247,260,270,275,281,285,294,304,312,323,335,346,368,394,421,450,478,509,544,589,630,673,718,761,806,841,890,944,997,1054,1113,1188,1275,1356,1448,1541,2190,2264,2283,2475,2648,2870,3101,3323,3362,3383,3615,3841,4093,4295,4479,4502,4505,4731,4903,5068,5347,5509,5575,5688,5753,5920,6051,6192,6308,6384,6434,6573,6682,6781,6881,6979,7024,7069,7186,7290,8347,8445,8503,8633,8677,8722,8838,8914,9020,9112,9187,9240,9278,9377,9457,9533,9608,9707,9745,9792,9889,9958,10011,10077,10139,10178,10205,10299,10340,10395,10452,10513,10546,10578,10671,10723,10792,10852,10916,10958,10990,11072,11132,11181,11244,11289,11321,11344,11422,11494,11551
Metropolitana,Chile,-33.4378,-70.6504,confirmed,0,1,2,3,4,6,9,10,14,23,29,40,54,123,152,174,247,304,359,409,459,540,682,746,938,1084,1167,1295,1420,1521,1636,1742,1957,2102,2244,2350,2548,2832,3193,3448,3599,3803,4086,4334,4682,4915,5192,5381,5643,5788,6083,6434,6761,7165,7496,7858,8300,8889,9625,10516,11661,12656,13528,14707,15582,16828,17979,18957,20353,21317,22709,24965,27216,29276,30794,32684,34451,37591,41179,44641,48350,51399,54544,58930,62285,66011,69915,72910,76251,80504,85239,88194,92191,95890,99066,103194,108462,112136,115126,119746,124135,129694,134751,140398,144280,148302,180532,183553,187974,191577,195366,198392,200861,203211,206246,208862,211819,214388,216896,219151,220467,221820,223892,226128,228208,229856,231171,232158,233845,235370,236699,238360,239791,240655,241345,242572,244073,245161,245983,246946,247622,248352,249355,250420,251317,252122,253028,253688,254354,255020,255841,256628,257394,258080,258579,259224,259922,260657,261361,262056,262647,263095,263567,264222,264989,265515,266162,266656,267000,267327,267924,268476,269118,269691,270199,270658,271016,271486,272039,272598,273239,273720,274145,274611,275138,275710,276282
Metropolitana,Chile,-33.4378,-70.6504,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190688,194094,196729,199125,201801,204387,206451,208652,210992,213021,214856,216627,217601,219896,221418,222906,224418,226151,226678,227993,229130,230243,231618,232850,233892,234989,236152,237038,237823,238880,239876,240722,241385,242313,242998,243591,244473,245229,245901,246638,247376,247979,248524,249276,249956,250618,251316,252008,252614,253059,253707,254299,254908,255486,256034,256469,256848,257442,258015,258583,259010,259532,259943,260282,260827,261372,261917,262458,262990
Metropolitana,Chile,-33.4378,-70.6504,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,4,5,6,8,9,10,10,12,14,21,29,32,35,36,40,41,48,51,58,63,67,69,78,85,86,89,91,95,100,104,110,114,122,135,143,146,150,152,157,163,166,172,178,184,202,221,246,270,294,318,348,388,423,455,494,529,567,595,638,685,728,775,824,894,961,1034,1105,1184,1884,1950,1968,2115,2273,2468,2681,2878,2913,2934,3114,3319,3545,3715,3870,3892,3895,4065,4206,4342,4584,4711,4777,4889,4954,5055,5145,5251,5328,5401,5451,5533,5610,5673,5746,5814,5858,5898,5957,6027,6858,6924,6975,7053,7096,7133,7192,7241,7303,7353,7400,7444,7477,7515,7554,7599,7649,7700,7735,7774,7808,7847,7871,7909,7946,7972,7992,8023,8044,8074,8105,8138,8160,8187,8219,8250,8288,8318,8339,8373,8402,8431,8462,8483,8517,8538,8559,8580,8608,8638,8671
Valparaiso,Chile,-33.0458,-71.6197,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,13,16,19,25,32,44,49,71,80,108,115,136,156,176,185,191,198,214,225,230,241,248,254,273,285,299,330,345,359,381,388,403,421,429,436,454,460,485,493,526,559,568,614,638,656,687,716,781,828,878,933,970,1029,1123,1213,1312,1365,1474,1553,1639,1770,1887,2020,2116,2230,2305,2455,2576,2730,2842,3037,3167,3348,3595,3769,4017,4266,4580,4862,5149,5391,5614,5865,6171,6527,6758,7012,7262,8253,8473,8758,9014,9298,9615,9901,10187,10482,10797,11054,11307,11541,11752,12008,12201,12465,12766,13051,13231,13433,13598,13797,14053,14257,14516,14734,14903,15016,15068,15261,15406,15589,15771,15914,16118,16316,16475,16724,16863,17014,17146,17256,17429,17580,17767,17960,18083,18222,18328,18519,18682,18920,19090,19243,19371,19518,19700,19887,20069,20303,20433,20549,20712,20868,21057,21224,21418,21589,21702,21846,22026,22243,22478,22711,22917,23089,23308,23460,23662,23873
Valparaiso,Chile,-33.0458,-71.6197,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9085,9409,9677,9903,10134,10403,10673,10878,11154,11387,11615,11854,12014,12255,12432,12635,12844,13097,13260,13459,13673,13844,14045,14208,14381,14528,14738,14868,15007,15234,15410,15580,15731,15896,16073,16186,16379,16511,16667,16807,16963,17095,17216,17424,17562,17706,17846,18004,18146,18300,18486,18669,18827,18985,19143,19308,19457,19676,19853,20017,20195,20366,20511,20659,20873,21069,21246,21410,21605
Valparaiso,Chile,-33.0458,-71.6197,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,4,5,5,6,7,7,8,9,9,9,10,12,12,12,13,13,13,15,16,17,18,19,20,21,23,24,25,27,28,29,30,32,35,38,40,44,48,53,57,58,60,61,63,66,70,72,77,78,88,91,83,85,85,99,107,118,120,125,126,126,141,143,150,158,170,170,170,187,195,204,217,229,229,230,230,252,266,278,292,292,292,303,312,320,326,331,331,331,347,363,407,413,414,427,427,428,441,451,460,464,470,471,471,492,497,507,513,522,522,524,542,547,551,564,569,569,573,592,595,600,607,616,617,618,628,634,641,645,651,652,652,665,674,682,693,701,703,703,719,728,735
Bio Bio,Chile,-37.4464,-72.1416,confirmed,0,0,0,0,0,0,1,1,1,1,3,3,3,4,4,7,14,19,30,35,46,73,95,109,135,151,185,201,216,240,275,302,347,365,383,410,439,460,474,490,500,512,528,542,559,578,606,616,626,636,658,675,683,696,703,706,709,719,727,729,751,759,762,774,789,814,842,882,899,932,942,975,995,1036,1074,1099,1144,1172,1224,1263,1311,1354,1414,1458,1502,1565,1677,1778,1888,1979,2070,2082,2215,2301,2379,2490,2595,2651,2694,2846,2974,3103,3269,3401,3460,3515,4015,4183,4401,4658,4911,5158,5328,5464,5702,5958,6139,6398,6595,6697,6845,6951,7131,7262,7456,7611,7713,7816,7980,8151,8295,8459,8589,8680,8792,8994,9150,9300,9441,9591,9696,9813,9982,10165,10371,10553,10697,10836,10980,11135,11317,11493,11675,11820,11942,12092,12271,12498,12679,12891,13021,13174,13260,13484,13684,13841,14050,14247,14363,14499,14748,14994,15212,15493,15753,15902,16042,16377,16632,16991,17216,17476,17632,17785,18036,18335,18569
