time,confirmed,recovered,deaths
2020-03-03 12:00:00-03:00,0,0,0
2020-03-04 12:00:00-03:00,0,0,0
2020-03-05 12:00:00-03:00,0,0,0
2020-03-06 12:00:00-03:00,0,0,0
2020-03-07 12:00:00-03:00,0,0,0
2020-03-08 12:00:00-03:00,0,0,0
2020-03-09 12:00:00-03:00,0,0,0
2020-03-10 12:00:00-03:00,0,0,0
2020-03-11 12:00:00-03:00,0,0,0
2020-03-12 12:00:00-03:00,0,0,0
2020-03-13 12:00:00-03:00,0,0,0
2020-03-14 12:00:00-03:00,2,0,0
2020-03-15 12:00:00-03:00,2,0,0
2020-03-16 12:00:00-03:00,2,0,0
2020-03-17 12:00:00-03:00,2,0,0
2020-03-18 12:00:00-03:00,2,0,0
2020-03-19 12:00:00-03:00,2,0,0
2020-03-20 12:00:00-03:00,6,0,0
2020-03-21 12:00:00-03:00,10,0,0
2020-03-22 12:00:00-03:00,11,0,0
2020-03-23 12:00:00-03:00,11,0,0
2020-03-24 12:00:00-03:00,13,0,0
2020-03-25 12:00:00-03:00,19,0,0
2020-03-26 12:00:00-03:00,20,0,0
2020-03-27 12:00:00-03:00,21,0,0
2020-03-28 12:00:00-03:00,25,0,0
2020-03-29 12:00:00-03:00,27,0,0
2020-03-30 12:00:00-03:00,35,0,0
2020-03-31 12:00:00-03:00,35,0,0
2020-04-01 12:00:00-03:00,39,0,0
2020-04-02 12:00:00-03:00,47,0,0
2020-04-03 12:00:00-03:00,54,0,0
2020-04-04 12:00:00-03:00,55,0,0
2020-04-05 12:00:00-03:00,60,0,0
2020-04-06 12:00:00-03:00,68,0,0
2020-04-07 12:00:00-03:00,69,0,1
2020-04-08 12:00:00-03:00,77,0,1
2020-04-09 12:00:00-03:00,92,0,1
2020-04-10 12:00:00-03:00,110,0,1
2020-04-11 12:00:00-03:00,117,0,1
2020-04-12 12:00:00-03:00,138,0,1
2020-04-13 12:00:00-03:00,149,0,1
2020-04-14 12:00:00-03:00,155,0,1
2020-04-15 12:00:00-03:00,176,0,1
2020-04-16 12:00:00-03:00,192,0,1
2020-04-17 12:00:00-03:00,211,0,1
2020-04-18 12:00:00-03:00,226,0,1
2020-04-19 12:00:00-03:00,249,0,1
2020-04-20 12:00:00-03:00,263,0,1
2020-04-21 12:00:00-03:00,291,0,1
2020-04-22 12:00:00-03:00,326,0,2
2020-04-23 12:00:00-03:00,340,0,2
2020-04-24 12:00:00-03:00,366,0,2
2020-04-25 12:00:00-03:00,391,0,3
2020-04-26 12:00:00-03:00,443,0,4
2020-04-27 12:00:00-03:00,457,0,4
2020-04-28 12:00:00-03:00,481,0,4
2020-04-29 12:00:00-03:00,514,0,4
2020-04-30 12:00:00-03:00,546,0,5
2020-05-01 12:00:00-03:00,589,0,7
2020-05-02 12:00:00-03:00,679,0,7
2020-05-03 12:00:00-03:00,740,0,7
2020-05-04 12:00:00-03:00,760,0,7
2020-05-05 12:00:00-03:00,811,0,7
2020-05-06 12:00:00-03:00,855,0,7
2020-05-07 12:00:00-03:00,895,0,7
2020-05-08 12:00:00-03:00,923,0,9
2020-05-09 12:00:00-03:00,947,0,10
2020-05-10 12:00:00-03:00,978,0,10
2020-05-11 12:00:00-03:00,1014,0,10
2020-05-12 12:00:00-03:00,1109,0,10
2020-05-13 12:00:00-03:00,1216,0,11
2020-05-14 12:00:00-03:00,1277,0,11
2020-05-15 12:00:00-03:00,1331,0,12
2020-05-16 12:00:00-03:00,1429,0,12
2020-05-17 12:00:00-03:00,1505,0,13
2020-05-18 12:00:00-03:00,1589,0,14
2020-05-19 12:00:00-03:00,1648,0,16
2020-05-20 12:00:00-03:00,1731,0,17
2020-05-21 12:00:00-03:00,1778,0,17
2020-05-22 12:00:00-03:00,1841,0,17
2020-05-23 12:00:00-03:00,1897,0,21
2020-05-24 12:00:00-03:00,1947,0,21
2020-05-25 12:00:00-03:00,2015,0,21
2020-05-26 12:00:00-03:00,2063,0,23
2020-05-27 12:00:00-03:00,2137,0,25
2020-05-28 12:00:00-03:00,2248,0,28
2020-05-29 12:00:00-03:00,2318,0,28
2020-05-30 12:00:00-03:00,2429,0,29
2020-05-31 12:00:00-03:00,2510,0,31
2020-06-01 12:00:00-03:00,2585,0,32
2020-06-02 12:00:00-03:00,2649,0,34
2020-06-03 12:00:00-03:00,2716,0,36
2020-06-04 12:00:00-03:00,2862,0,38
2020-06-05 12:00:00-03:00,2924,0,42
2020-06-06 12:00:00-03:00,3033,0,47
2020-06-07 12:00:00-03:00,3154,0,44
2020-06-08 12:00:00-03:00,3245,0,45
2020-06-09 12:00:00-03:00,3402,0,45
2020-06-10 12:00:00-03:00,3559,0,56
2020-06-11 12:00:00-03:00,3753,0,57
2020-06-12 12:00:00-03:00,3885,0,65
2020-06-13 12:00:00-03:00,4038,0,67
2020-06-14 12:00:00-03:00,4286,0,72
2020-06-15 12:00:00-03:00,4556,0,72
2020-06-16 12:00:00-03:00,4643,0,72
2020-06-17 12:00:00-03:00,5241,0,81
2020-06-18 12:00:00-03:00,5528,0,87
2020-06-19 12:00:00-03:00,5828,0,93
2020-06-20 12:00:00-03:00,6215,0,94
2020-06-21 12:00:00-03:00,6461,0,100
2020-06-22 12:00:00-03:00,6708,0,100
2020-06-23 12:00:00-03:00,6991,0,100
2020-06-24 12:00:00-03:00,7227,0,113
2020-06-25 12:00:00-03:00,7515,0,122
2020-06-26 12:00:00-03:00,7742,0,128
2020-06-27 12:00:00-03:00,8027,0,142
2020-06-28 12:00:00-03:00,8308,0,147
2020-06-29 12:00:00-03:00,8625,6616,147
2020-06-30 12:00:00-03:00,8829,6907,147
2020-07-01 12:00:00-03:00,9083,7176,147
2020-07-02 12:00:00-03:00,9285,7375,163
2020-07-03 12:00:00-03:00,9570,7629,171
2020-07-04 12:00:00-03:00,9823,7861,174
2020-07-05 12:00:00-03:00,10119,8113,183
2020-07-06 12:00:00-03:00,10355,8298,183
2020-07-07 12:00:00-03:00,10594,8526,183
2020-07-08 12:00:00-03:00,10825,8782,197
2020-07-09 12:00:00-03:00,11077,9008,203
2020-07-10 12:00:00-03:00,11267,9241,216
2020-07-11 12:00:00-03:00,11580,9467,218
2020-07-12 12:00:00-03:00,11799,9713,224
2020-07-13 12:00:00-03:00,12034,9924,225
2020-07-14 12:00:00-03:00,12224,10157,228
2020-07-15 12:00:00-03:00,12389,10392,232
2020-07-16 12:00:00-03:00,12500,10662,236
2020-07-17 12:00:00-03:00,12716,10844,271
2020-07-18 12:00:00-03:00,12907,11068,279
2020-07-19 12:00:00-03:00,13109,11281,280
2020-07-20 12:00:00-03:00,13226,11469,293
2020-07-21 12:00:00-03:00,13309,11692,293
2020-07-22 12:00:00-03:00,13482,11870,298
2020-07-23 12:00:00-03:00,13648,12025,305
2020-07-24 12:00:00-03:00,13807,12194,310
2020-07-25 12:00:00-03:00,13939,12372,316
2020-07-26 12:00:00-03:00,14093,12517,328
2020-07-27 12:00:00-03:00,14244,12681,332
2020-07-28 12:00:00-03:00,14371,12844,334
2020-07-29 12:00:00-03:00,14510,13013,335
2020-07-30 12:00:00-03:00,14586,13141,341
2020-07-31 12:00:00-03:00,14754,13255,347
2020-08-01 12:00:00-03:00,14884,13399,352
2020-08-02 12:00:00-03:00,15028,13538,353
2020-08-03 12:00:00-03:00,15184,13669,358
2020-08-04 12:00:00-03:00,15279,13826,358
2020-08-05 12:00:00-03:00,15446,13959,361
2020-08-06 12:00:00-03:00,15578,14073,367
2020-08-07 12:00:00-03:00,15711,14188,372
2020-08-08 12:00:00-03:00,15871,14312,376
2020-08-09 12:00:00-03:00,16005,14424,378
2020-08-10 12:00:00-03:00,16155,14527,381
2020-08-11 12:00:00-03:00,16239,14674,387
2020-08-12 12:00:00-03:00,16323,14811,388
2020-08-13 12:00:00-03:00,16434,14931,392
2020-08-14 12:00:00-03:00,16565,15053,394
2020-08-15 12:00:00-03:00,16669,15215,399
2020-08-16 12:00:00-03:00,16794,15363,403
2020-08-17 12:00:00-03:00,16906,15475,407
2020-08-18 12:00:00-03:00,16970,15616,410
2020-08-19 12:00:00-03:00,17044,15739,411
2020-08-20 12:00:00-03:00,17114,15854,415
2020-08-21 12:00:00-03:00,17249,15946,416
2020-08-22 12:00:00-03:00,17333,16066,417
2020-08-23 12:00:00-03:00,17405,16169,419
2020-08-24 12:00:00-03:00,17539,16254,422
2020-08-25 12:00:00-03:00,17597,16367,426
2020-08-26 12:00:00-03:00,17683,16469,428
