time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,0,0,0
2020-03-08 11:00:00-03:00,0,0,0
2020-03-09 11:00:00-03:00,1,0,0
2020-03-10 11:00:00-03:00,1,0,0
2020-03-11 11:00:00-03:00,1,0,0
2020-03-12 11:00:00-03:00,1,0,0
2020-03-13 11:00:00-03:00,3,0,0
2020-03-14 11:00:00-03:00,3,0,0
2020-03-15 11:00:00-03:00,3,0,0
2020-03-16 11:00:00-03:00,4,0,0
2020-03-17 11:00:00-03:00,4,0,0
2020-03-18 11:00:00-03:00,7,0,0
2020-03-19 11:00:00-03:00,14,0,0
2020-03-20 11:00:00-03:00,19,0,0
2020-03-21 11:00:00-03:00,30,0,0
2020-03-22 11:00:00-03:00,35,0,0
2020-03-23 11:00:00-03:00,46,0,0
2020-03-24 11:00:00-03:00,73,0,0
2020-03-25 11:00:00-03:00,95,0,1
2020-03-26 11:00:00-03:00,109,0,1
2020-03-27 11:00:00-03:00,135,0,2
2020-03-28 11:00:00-03:00,151,0,2
2020-03-29 11:00:00-03:00,185,0,2
2020-03-30 11:00:00-03:00,201,0,2
2020-03-31 11:00:00-03:00,216,0,2
2020-04-01 11:00:00-03:00,240,0,2
2020-04-02 11:00:00-03:00,275,0,2
2020-04-03 11:00:00-03:00,302,0,2
2020-04-04 11:00:00-03:00,347,0,2
2020-04-05 11:00:00-03:00,365,0,2
2020-04-06 11:00:00-03:00,383,0,2
2020-04-07 11:00:00-03:00,410,0,2
2020-04-08 10:50:02-03:00,439,0,2
2020-04-09 10:30:03-03:00,460,0,2
2020-04-10 12:45:03-03:00,474,0,2
2020-04-11 12:05:27-03:00,490,0,2
2020-04-12 12:25:02-03:00,500,0,2
2020-04-13 11:05:03-03:00,512,0,2
2020-04-14 11:10:03-03:00,528,0,2
2020-04-15 11:20:03-03:00,542,0,2
2020-04-16 11:15:03-03:00,559,0,2
2020-04-17 11:10:02-03:00,578,0,3
2020-04-18 11:40:03-03:00,606,0,3
2020-04-19 12:15:02-03:00,616,0,3
2020-04-20 11:25:03-03:00,626,0,3
2020-04-21 11:50:03-03:00,636,0,4
2020-04-22 11:55:02-03:00,658,0,5
2020-04-23 11:50:02-03:00,675,0,5
2020-04-24 11:40:07-03:00,683,0,5
2020-04-25 11:40:03-03:00,696,0,5
2020-04-26 12:10:02-03:00,703,0,6
2020-04-27 11:15:03-03:00,706,0,6
2020-04-28 11:40:02-03:00,709,0,7
2020-04-29 12:00:00-03:00,719,0,7
2020-04-30 13:40:02-03:00,727,0,7
2020-05-01 11:40:03-03:00,729,0,7
2020-05-02 12:30:03-03:00,751,0,7
2020-05-03 13:25:03-03:00,759,0,7
2020-05-04 11:30:03-03:00,762,0,8
2020-05-05 11:30:02-03:00,774,0,8
2020-05-06 12:40:02-03:00,789,0,8
2020-05-07 11:20:03-03:00,814,0,8
2020-05-08 11:45:03-03:00,842,0,8
2020-05-09 13:40:03-03:00,882,0,8
2020-05-10 12:45:02-03:00,899,0,8
2020-05-11 11:25:02-03:00,932,0,8
2020-05-12 11:25:03-03:00,942,0,9
2020-05-13 15:20:05-03:00,975,0,9
2020-05-14 11:40:02-03:00,995,0,9
2020-05-15 11:15:02-03:00,1036,0,9
2020-05-16 11:50:03-03:00,1074,0,9
2020-05-17 12:45:02-03:00,1099,0,9
2020-05-18 11:55:02-03:00,1144,0,9
2020-05-19 11:55:03-03:00,1172,0,9
2020-05-20 13:00:03-03:00,1224,0,9
2020-05-21 15:10:03-03:00,1263,0,9
2020-05-22 11:50:03-03:00,1311,0,10
2020-05-23 11:30:02-03:00,1354,0,10
2020-05-24 14:00:03-03:00,1414,0,10
2020-05-25 11:20:02-03:00,1458,0,10
2020-05-26 12:05:03-03:00,1502,0,10
2020-05-27 12:00:02-03:00,1565,0,10
2020-05-28 11:45:03-03:00,1677,0,10
2020-05-29 12:25:02-03:00,1778,0,11
2020-05-30 12:10:02-03:00,1888,0,11
2020-05-31 16:30:03-03:00,1979,0,11
2020-06-01 12:00:03-03:00,2070,0,11
2020-06-02 12:00:03-03:00,2082,0,11
2020-06-03 14:00:03-03:00,2215,0,11
2020-06-04 17:00:43-03:00,2301,0,13
2020-06-05 12:25:02-03:00,2379,0,13
2020-06-06 11:30:04-03:00,2490,0,13
2020-06-07 14:45:03-03:00,2595,0,13
2020-06-08 16:25:02-03:00,2651,0,11
2020-06-09 15:08:17-03:00,2694,0,11
2020-06-10 13:20:02-03:00,2846,0,11
2020-06-11 13:10:02-03:00,2974,0,12
2020-06-12 13:20:03-03:00,3103,0,14
2020-06-13 11:10:02-03:00,3269,0,16
2020-06-14 18:40:03-03:00,3401,0,18
2020-06-15 12:15:03-03:00,3460,0,19
2020-06-16 11:35:03-03:00,3515,0,19
2020-06-17 13:25:03-03:00,4015,0,25
2020-06-18 14:00:03-03:00,4183,0,28
2020-06-19 12:20:02-03:00,4401,0,31
2020-06-20 13:55:03-03:00,4658,0,32
2020-06-21 17:25:03-03:00,4911,0,34
2020-06-22 11:38:26-03:00,5158,0,35
2020-06-23 10:40:03-03:00,5328,0,35
2020-06-24 12:50:02-03:00,5464,0,40
2020-06-25 12:25:02-03:00,5702,0,42
2020-06-26 12:20:02-03:00,5958,0,45
2020-06-27 12:15:03-03:00,6139,0,46
2020-06-28 12:55:03-03:00,6398,0,50
2020-06-29 12:00:00-03:00,6595,4523,50
2020-06-30 12:00:00-03:00,6697,4760,50
2020-07-01 12:15:03-03:00,6845,4976,50
2020-07-02 12:30:02-03:00,6951,5196,58
2020-07-04 17:00:03-03:00,7262,5603,61
2020-07-05 11:50:03-03:00,7456,5829,64
2020-07-06 11:30:02-03:00,7611,5977,64
2020-07-07 11:15:03-03:00,7713,6172,64
2020-07-08 15:10:03-03:00,7816,6386,65
2020-07-09 11:50:03-03:00,7980,6593,67
2020-07-10 12:50:03-03:00,8151,6762,68
2020-07-11 15:00:03-03:00,8295,6930,72
2020-07-12 14:35:03-03:00,8459,7059,73
2020-07-13 11:30:03-03:00,8589,7185,73
2020-07-14 12:35:02-03:00,8680,7327,75
2020-07-15 12:20:03-03:00,8792,7481,80
2020-07-16 12:30:03-03:00,8994,7632,82
2020-07-17 11:35:03-03:00,9150,7765,95
2020-07-18 12:15:02-03:00,9300,7884,95
2020-07-19 13:20:03-03:00,9441,7998,96
2020-07-21 12:20:02-03:00,9696,8285,100
2020-07-24 14:40:02-03:00,10165,8695,103
2020-07-27 11:59:25-03:00,10553,8941,105
2020-07-30 11:50:02-03:00,11135,9594,114
2020-07-31 11:50:02-03:00,11317,9743,119
2020-08-05 07:16:01-03:00,11942,10368,125
2020-08-06 12:20:03-03:00,12271,10721,131
