time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,1,0,0
2020-03-03 11:00:00-03:00,2,0,0
2020-03-04 11:00:00-03:00,4,0,0
2020-03-05 11:00:00-03:00,6,0,0
2020-03-06 11:00:00-03:00,6,0,0
2020-03-07 11:00:00-03:00,7,0,0
2020-03-08 11:00:00-03:00,10,0,0
2020-03-09 11:00:00-03:00,13,0,0
2020-03-10 11:00:00-03:00,17,0,0
2020-03-11 11:00:00-03:00,23,0,0
2020-03-12 11:00:00-03:00,33,0,0
2020-03-13 11:00:00-03:00,43,0,0
2020-03-14 11:00:00-03:00,61,0,0
2020-03-15 11:00:00-03:00,75,0,0
2020-03-16 11:00:00-03:00,156,0,0
2020-03-17 11:00:00-03:00,201,0,0
2020-03-18 11:00:00-03:00,238,0,0
2020-03-19 11:00:00-03:00,342,5,0
2020-03-20 11:00:00-03:00,434,6,0
2020-03-21 11:00:00-03:00,537,8,1
2020-03-22 11:00:00-03:00,632,8,1
2020-03-23 11:00:00-03:00,746,11,2
2020-03-24 11:00:00-03:00,922,17,2
2020-03-25 11:00:00-03:00,1142,22,3
2020-03-26 11:00:00-03:00,1306,33,4
2020-03-27 11:00:00-03:00,1610,43,5
2020-03-28 11:00:00-03:00,1909,61,6
2020-03-29 11:00:00-03:00,2139,75,7
2020-03-30 11:00:00-03:00,2449,156,8
2020-03-31 11:00:00-03:00,2738,156,12
2020-04-01 11:00:00-03:00,3031,234,16
2020-04-02 11:00:00-03:00,3404,335,18
2020-04-03 11:00:00-03:00,3737,427,22
2020-04-04 11:00:00-03:00,4161,528,27
2020-04-05 11:00:00-03:00,4471,528,34
2020-04-06 11:00:00-03:00,4815,728,37
2020-04-07 11:00:00-03:00,5116,898,43
2020-04-08 10:50:02-03:00,5546,1115,48
2020-04-09 10:30:03-03:00,5972,1274,57
2020-04-10 12:45:03-03:00,6501,1571,65
2020-04-11 12:05:27-03:00,6927,1864,73
2020-04-12 12:25:02-03:00,7213,2059,80
2020-04-13 11:05:03-03:00,7525,2367,82
2020-04-14 11:10:03-03:00,7917,2646,92
2020-04-15 11:20:03-03:00,8273,2937,94
2020-04-16 11:15:03-03:00,8807,3299,105
2020-04-17 11:10:02-03:00,9252,3621,116
2020-04-18 11:40:03-03:00,9730,4035,126
2020-04-19 12:15:02-03:00,10088,4338,133
2020-04-20 11:25:03-03:00,10507,4476,139
2020-04-21 11:50:03-03:00,10832,4969,147
2020-04-22 11:55:02-03:00,11296,5386,160
2020-04-23 11:50:02-03:00,11812,5804,168
2020-04-24 11:40:07-03:00,12306,6327,174
2020-04-25 11:40:03-03:00,12858,6746,181
2020-04-26 12:10:02-03:00,13331,7024,189
2020-04-27 11:15:03-03:00,13813,7327,198
2020-04-28 11:40:02-03:00,14365,7710,207
2020-04-29 12:00:00-03:00,15135,8057,216
2020-04-30 13:40:02-03:00,16023,8580,227
2020-05-01 11:40:03-03:00,17008,9018,234
