time,confirmed,recovered,deaths
2020-03-03 12:00:00-03:00,0,0,0
2020-03-04 12:00:00-03:00,1,0,0
2020-03-05 12:00:00-03:00,2,0,0
2020-03-06 12:00:00-03:00,3,0,0
2020-03-07 12:00:00-03:00,4,0,0
2020-03-08 12:00:00-03:00,6,0,0
2020-03-09 12:00:00-03:00,9,0,0
2020-03-10 12:00:00-03:00,10,0,0
2020-03-11 12:00:00-03:00,14,0,0
2020-03-12 12:00:00-03:00,23,0,0
2020-03-13 12:00:00-03:00,29,0,0
2020-03-14 12:00:00-03:00,40,0,0
2020-03-15 12:00:00-03:00,54,0,0
2020-03-16 12:00:00-03:00,123,0,0
2020-03-17 12:00:00-03:00,152,0,0
2020-03-18 12:00:00-03:00,174,0,0
2020-03-19 12:00:00-03:00,247,0,0
2020-03-20 12:00:00-03:00,304,0,0
2020-03-21 12:00:00-03:00,359,0,0
2020-03-22 12:00:00-03:00,409,0,1
2020-03-23 12:00:00-03:00,459,0,1
2020-03-24 12:00:00-03:00,540,0,2
2020-03-25 12:00:00-03:00,682,0,2
2020-03-26 12:00:00-03:00,746,0,3
2020-03-27 12:00:00-03:00,938,0,3
2020-03-28 12:00:00-03:00,1084,0,3
2020-03-29 12:00:00-03:00,1167,0,3
2020-03-30 12:00:00-03:00,1295,0,3
2020-03-31 12:00:00-03:00,1420,0,4
2020-04-01 12:00:00-03:00,1521,0,5
2020-04-02 12:00:00-03:00,1636,0,6
2020-04-03 12:00:00-03:00,1742,0,8
2020-04-04 12:00:00-03:00,1957,0,9
2020-04-05 12:00:00-03:00,2102,0,10
2020-04-06 12:00:00-03:00,2244,0,10
2020-04-07 12:00:00-03:00,2350,0,12
2020-04-08 12:00:00-03:00,2548,0,14
2020-04-09 12:00:00-03:00,2832,0,21
2020-04-10 12:00:00-03:00,3193,0,29
2020-04-11 12:00:00-03:00,3448,0,32
2020-04-12 12:00:00-03:00,3599,0,35
2020-04-13 12:00:00-03:00,3803,0,36
2020-04-14 12:00:00-03:00,4086,0,40
