time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,0,0,0
2020-03-08 11:00:00-03:00,0,0,0
2020-03-09 11:00:00-03:00,0,0,0
2020-03-10 11:00:00-03:00,0,0,0
2020-03-11 11:00:00-03:00,0,0,0
2020-03-12 11:00:00-03:00,0,0,0
2020-03-13 11:00:00-03:00,0,0,0
2020-03-14 11:00:00-03:00,0,0,0
2020-03-15 11:00:00-03:00,0,0,0
2020-03-16 11:00:00-03:00,0,0,0
2020-03-17 11:00:00-03:00,0,0,0
2020-03-18 11:00:00-03:00,0,0,0
2020-03-19 11:00:00-03:00,2,0,0
2020-03-20 11:00:00-03:00,6,0,0
2020-03-21 11:00:00-03:00,7,0,0
2020-03-22 11:00:00-03:00,8,0,0
2020-03-23 11:00:00-03:00,8,0,0
2020-03-24 11:00:00-03:00,9,0,0
2020-03-25 11:00:00-03:00,11,0,0
2020-03-26 11:00:00-03:00,14,0,0
2020-03-27 11:00:00-03:00,16,0,0
2020-03-28 11:00:00-03:00,20,0,0
2020-03-29 11:00:00-03:00,21,0,0
2020-03-30 11:00:00-03:00,21,0,0
2020-03-31 11:00:00-03:00,23,0,0
2020-04-01 11:00:00-03:00,26,0,0
2020-04-02 11:00:00-03:00,32,0,0
2020-04-03 11:00:00-03:00,33,0,0
2020-04-04 11:00:00-03:00,38,0,0
2020-04-05 11:00:00-03:00,41,0,0
2020-04-06 11:00:00-03:00,42,0,0
2020-04-07 11:00:00-03:00,42,0,0
2020-04-08 10:50:02-03:00,43,0,0
2020-04-09 10:30:03-03:00,44,0,0
2020-04-10 12:45:03-03:00,44,0,0
2020-04-11 12:05:27-03:00,45,0,0
2020-04-12 12:25:02-03:00,46,0,0
2020-04-13 11:05:03-03:00,48,0,0
2020-04-14 11:10:03-03:00,53,0,0
2020-04-15 11:20:03-03:00,54,0,0
2020-04-16 11:15:03-03:00,54,0,0
2020-04-17 11:10:02-03:00,55,0,0
2020-04-18 11:40:03-03:00,55,0,0
2020-04-19 12:15:02-03:00,55,0,0
2020-04-20 11:25:03-03:00,56,0,0
2020-04-21 11:50:03-03:00,57,0,1
2020-04-22 11:55:02-03:00,59,0,1
2020-04-23 11:50:02-03:00,76,0,1
2020-04-24 11:40:07-03:00,81,0,1
2020-04-25 11:40:03-03:00,85,0,1
2020-04-26 12:10:02-03:00,92,0,1
2020-04-27 11:15:03-03:00,94,0,1
2020-04-28 11:40:02-03:00,97,0,1
2020-04-29 12:00:00-03:00,104,0,1
2020-04-30 13:40:02-03:00,108,0,1
2020-05-01 11:40:03-03:00,109,0,1
2020-05-02 12:30:03-03:00,120,0,3
2020-05-03 13:25:03-03:00,125,0,3
2020-05-04 11:30:03-03:00,131,0,3
2020-05-05 11:30:02-03:00,136,0,3
2020-05-06 12:40:02-03:00,145,0,3
2020-05-07 11:20:03-03:00,151,0,3
2020-05-08 11:45:03-03:00,167,0,3
2020-05-09 13:40:03-03:00,182,0,3
2020-05-10 12:45:02-03:00,195,0,3
2020-05-11 11:25:02-03:00,216,0,4
2020-05-12 11:25:03-03:00,224,0,4
2020-05-13 15:20:05-03:00,248,0,4
2020-05-14 11:40:02-03:00,295,0,4
2020-05-15 11:15:02-03:00,323,0,5
2020-05-16 11:50:03-03:00,329,0,5
2020-05-17 12:45:02-03:00,366,0,5
2020-05-18 11:55:02-03:00,418,0,6
2020-05-19 11:55:03-03:00,442,0,7
2020-05-20 13:00:03-03:00,455,0,7
2020-05-21 15:10:03-03:00,465,0,7
2020-05-22 11:50:03-03:00,492,0,8
2020-05-23 11:30:02-03:00,518,0,11
2020-05-24 14:00:03-03:00,554,0,11
2020-05-25 11:20:02-03:00,588,0,13
2020-05-26 12:05:03-03:00,654,0,13
2020-05-27 12:00:02-03:00,691,0,14
2020-05-28 11:45:03-03:00,705,0,14
2020-05-29 12:25:02-03:00,745,0,14
2020-05-30 12:10:02-03:00,756,0,16
2020-05-31 16:30:03-03:00,785,0,18
2020-06-01 12:00:03-03:00,813,0,18
2020-06-02 12:00:03-03:00,843,0,18
2020-06-03 14:00:03-03:00,931,0,20
2020-06-04 17:00:43-03:00,967,0,21
2020-06-05 12:25:02-03:00,1016,0,22
2020-06-06 11:30:04-03:00,1111,0,25
2020-06-07 14:45:03-03:00,1183,0,25
2020-06-08 16:25:02-03:00,1255,0,22
2020-06-09 15:08:17-03:00,1317,0,23
2020-06-10 13:20:02-03:00,1442,0,26
2020-06-11 13:10:02-03:00,1552,0,28
2020-06-12 13:20:03-03:00,1629,0,30
2020-06-13 11:10:02-03:00,1788,0,32
2020-06-14 18:40:03-03:00,1927,0,33
2020-06-15 12:15:03-03:00,2012,0,35
2020-06-16 11:35:03-03:00,2221,0,35
2020-06-17 13:25:03-03:00,2797,0,41
2020-06-18 14:00:03-03:00,3017,0,44
2020-06-19 12:20:02-03:00,3311,0,46
2020-06-20 13:55:03-03:00,3613,0,50
2020-06-21 17:25:03-03:00,3952,0,52
2020-06-22 11:38:26-03:00,4186,0,52
2020-06-23 10:40:03-03:00,4361,0,52
2020-06-24 12:50:02-03:00,4610,0,59
2020-06-25 12:25:02-03:00,4868,0,63
2020-06-26 12:20:02-03:00,5136,0,65
2020-06-27 12:15:03-03:00,5322,0,68
2020-06-28 12:55:03-03:00,5606,0,69
2020-06-29 12:00:00-03:00,5844,3716,69
2020-06-30 12:00:00-03:00,6081,3973,69
2020-07-01 12:15:03-03:00,6245,4197,69
2020-07-02 12:30:02-03:00,6445,4447,77
2020-07-04 17:00:03-03:00,6859,4921,89
2020-07-05 11:50:03-03:00,7068,5183,92
2020-07-06 11:30:02-03:00,7255,5413,92
2020-07-07 11:15:03-03:00,7468,5679,92
2020-07-08 15:10:03-03:00,7567,5913,104
2020-07-09 11:50:03-03:00,7761,6156,109
2020-07-10 12:50:03-03:00,8069,6377,113
2020-07-11 15:00:03-03:00,8210,6540,119
2020-07-12 14:35:03-03:00,8338,6722,123
2020-07-13 11:30:03-03:00,8487,6887,123
2020-07-14 12:35:02-03:00,8639,7061,123
2020-07-15 12:20:03-03:00,8755,7267,134
