time,confirmed,recovered,deaths
2020-03-03 12:00:00-03:00,0,0,0
2020-03-04 12:00:00-03:00,0,0,0
2020-03-05 12:00:00-03:00,0,0,0
2020-03-06 12:00:00-03:00,0,0,0
2020-03-07 12:00:00-03:00,0,0,0
2020-03-08 12:00:00-03:00,0,0,0
2020-03-09 12:00:00-03:00,0,0,0
2020-03-10 12:00:00-03:00,0,0,0
2020-03-11 12:00:00-03:00,0,0,0
2020-03-12 12:00:00-03:00,0,0,0
2020-03-13 12:00:00-03:00,0,0,0
2020-03-14 12:00:00-03:00,0,0,0
2020-03-15 12:00:00-03:00,0,0,0
2020-03-16 12:00:00-03:00,0,0,0
2020-03-17 12:00:00-03:00,0,0,0
2020-03-18 12:00:00-03:00,0,0,0
2020-03-19 12:00:00-03:00,0,0,0
2020-03-20 12:00:00-03:00,0,0,0
2020-03-21 12:00:00-03:00,0,0,0
2020-03-22 12:00:00-03:00,0,0,0
2020-03-23 12:00:00-03:00,1,0,0
2020-03-24 12:00:00-03:00,4,0,0
2020-03-25 12:00:00-03:00,4,0,0
2020-03-26 12:00:00-03:00,5,0,0
2020-03-27 12:00:00-03:00,5,0,0
2020-03-28 12:00:00-03:00,5,0,0
2020-03-29 12:00:00-03:00,6,0,0
2020-03-30 12:00:00-03:00,8,0,0
2020-03-31 12:00:00-03:00,10,0,0
2020-04-01 12:00:00-03:00,10,0,0
2020-04-02 12:00:00-03:00,12,0,0
2020-04-03 12:00:00-03:00,13,0,0
2020-04-04 12:00:00-03:00,17,0,0
2020-04-05 12:00:00-03:00,20,0,0
2020-04-06 12:00:00-03:00,21,0,0
2020-04-07 12:00:00-03:00,23,0,0
2020-04-08 12:00:00-03:00,26,0,0
2020-04-09 12:00:00-03:00,29,0,0
2020-04-10 12:00:00-03:00,35,0,0
2020-04-11 12:00:00-03:00,38,0,0
2020-04-12 12:00:00-03:00,46,0,0
2020-04-13 12:00:00-03:00,52,0,0
2020-04-14 12:00:00-03:00,62,0,0
2020-04-15 12:00:00-03:00,62,0,0
2020-04-16 12:00:00-03:00,66,0,0
2020-04-17 12:00:00-03:00,73,0,0
2020-04-18 12:00:00-03:00,81,0,0
2020-04-19 12:00:00-03:00,90,0,0
2020-04-20 12:00:00-03:00,93,0,0
2020-04-21 12:00:00-03:00,104,0,0
2020-04-22 12:00:00-03:00,114,0,0
2020-04-23 12:00:00-03:00,128,0,0
2020-04-24 12:00:00-03:00,134,0,0
2020-04-25 12:00:00-03:00,143,0,1
2020-04-26 12:00:00-03:00,156,0,1
2020-04-27 12:00:00-03:00,164,0,1
2020-04-28 12:00:00-03:00,169,0,1
2020-04-29 12:00:00-03:00,183,0,1
2020-04-30 12:00:00-03:00,198,0,1
2020-05-01 12:00:00-03:00,200,0,1
2020-05-02 12:00:00-03:00,212,0,1
2020-05-03 12:00:00-03:00,272,0,1
2020-05-04 12:00:00-03:00,295,0,1
2020-05-05 12:00:00-03:00,322,0,1
2020-05-06 12:00:00-03:00,339,0,1
2020-05-07 12:00:00-03:00,417,0,1
2020-05-08 12:00:00-03:00,459,0,1
2020-05-09 12:00:00-03:00,485,0,1
2020-05-10 12:00:00-03:00,520,0,1
2020-05-11 12:00:00-03:00,547,0,1
2020-05-12 12:00:00-03:00,578,0,1
2020-05-13 12:00:00-03:00,615,0,1
2020-05-14 12:00:00-03:00,682,0,1
2020-05-15 12:00:00-03:00,779,0,2
2020-05-16 12:00:00-03:00,845,0,2
2020-05-17 12:00:00-03:00,975,0,4
2020-05-18 12:00:00-03:00,1056,0,4
2020-05-19 12:00:00-03:00,1109,0,4
2020-05-20 12:00:00-03:00,1139,0,4
2020-05-21 12:00:00-03:00,1246,0,4
2020-05-22 12:00:00-03:00,1393,0,5
2020-05-23 12:00:00-03:00,1471,0,5
2020-05-24 12:00:00-03:00,1564,0,7
2020-05-25 12:00:00-03:00,1630,0,7
2020-05-26 12:00:00-03:00,1737,0,8
2020-05-27 12:00:00-03:00,1811,0,11
2020-05-28 12:00:00-03:00,1957,0,12
2020-05-29 12:00:00-03:00,2093,0,14
2020-05-30 12:00:00-03:00,2250,0,18
2020-05-31 12:00:00-03:00,2361,0,21
2020-06-01 12:00:00-03:00,2526,0,22
2020-06-02 12:00:00-03:00,2594,0,23
2020-06-03 12:00:00-03:00,2682,0,28
2020-06-04 12:00:00-03:00,2810,0,28
2020-06-05 12:00:00-03:00,2965,0,28
2020-06-06 12:00:00-03:00,3094,0,30
2020-06-07 12:00:00-03:00,3250,0,35
2020-06-08 12:00:00-03:00,3392,0,35
2020-06-09 12:00:00-03:00,3491,0,35
2020-06-10 12:00:00-03:00,3591,0,46
2020-06-11 12:00:00-03:00,3696,0,46
2020-06-12 12:00:00-03:00,3823,0,48
2020-06-13 12:00:00-03:00,4004,0,52
2020-06-14 12:00:00-03:00,4145,0,58
2020-06-15 12:00:00-03:00,4258,0,58
2020-06-16 12:00:00-03:00,4365,0,58
2020-06-17 12:00:00-03:00,4787,0,67
2020-06-18 12:00:00-03:00,4869,0,68
2020-06-19 12:00:00-03:00,4995,0,71
2020-06-20 12:00:00-03:00,5143,0,79
2020-06-21 12:00:00-03:00,5258,0,80
2020-06-22 12:00:00-03:00,5355,0,80
2020-06-23 12:00:00-03:00,5442,0,80
2020-06-24 12:00:00-03:00,5504,0,84
2020-06-25 12:00:00-03:00,5577,0,85
2020-06-26 12:00:00-03:00,5712,0,85
2020-06-27 12:00:00-03:00,5771,0,88
2020-06-28 12:00:00-03:00,5893,0,91
2020-06-29 12:00:00-03:00,5974,5068,91
2020-06-30 12:00:00-03:00,6049,5193,91
2020-07-01 12:00:00-03:00,6116,5285,91
2020-07-02 12:00:00-03:00,6215,5380,95
2020-07-03 12:00:00-03:00,6298,5479,96
2020-07-04 12:00:00-03:00,6372,5565,98
2020-07-05 12:00:00-03:00,6508,5657,102
2020-07-06 12:00:00-03:00,6632,5724,102
2020-07-07 12:00:00-03:00,6705,5835,102
2020-07-08 12:00:00-03:00,6789,5937,105
2020-07-09 12:00:00-03:00,6867,6026,107
2020-07-10 12:00:00-03:00,6961,6085,107
2020-07-11 12:00:00-03:00,7050,6157,108
2020-07-12 12:00:00-03:00,7147,6254,111
2020-07-13 12:00:00-03:00,7191,6325,111
2020-07-14 12:00:00-03:00,7217,6400,111
2020-07-15 12:00:00-03:00,7266,6500,115
2020-07-16 12:00:00-03:00,7353,6604,117
2020-07-17 12:00:00-03:00,7451,6660,139
2020-07-18 12:00:00-03:00,7557,6786,140
2020-07-19 12:00:00-03:00,7627,6867,141
2020-07-20 12:00:00-03:00,7761,6951,144
2020-07-21 12:00:00-03:00,7820,7026,144
2020-07-22 12:00:00-03:00,7869,7130,144
2020-07-23 12:00:00-03:00,7953,7204,150
2020-07-24 12:00:00-03:00,8079,7292,150
2020-07-25 12:00:00-03:00,8147,7357,153
2020-07-26 12:00:00-03:00,8188,7407,155
2020-07-27 12:00:00-03:00,8308,7450,159
2020-07-28 12:00:00-03:00,8585,7524,160
2020-07-29 12:00:00-03:00,8648,7598,160
2020-07-30 12:00:00-03:00,8764,7666,162
2020-07-31 12:00:00-03:00,8797,7730,166
2020-08-01 12:00:00-03:00,8863,7836,168
2020-08-02 12:00:00-03:00,8922,7926,170
2020-08-03 12:00:00-03:00,8985,7983,173
2020-08-04 12:00:00-03:00,9045,8084,173
2020-08-05 12:00:00-03:00,9128,8163,173
2020-08-06 12:00:00-03:00,9167,8257,177
2020-08-07 12:00:00-03:00,9252,8346,178
2020-08-08 12:00:00-03:00,9278,8414,180
2020-08-09 12:00:00-03:00,9367,8500,181
2020-08-10 12:00:00-03:00,9419,8624,182
2020-08-11 12:00:00-03:00,9543,8716,182
2020-08-12 12:00:00-03:00,9617,8789,182
2020-08-13 12:00:00-03:00,9702,8869,185
2020-08-14 12:00:00-03:00,9773,8955,185
2020-08-15 12:00:00-03:00,9825,9020,185
2020-08-16 12:00:00-03:00,9879,9089,186
2020-08-17 12:00:00-03:00,9971,9141,186
2020-08-18 12:00:00-03:00,10035,9204,186
2020-08-19 12:00:00-03:00,10085,9276,186
2020-08-20 12:00:00-03:00,10137,9344,191
2020-08-21 12:00:00-03:00,10213,9420,191
2020-08-22 12:00:00-03:00,10262,9484,193
2020-08-23 12:00:00-03:00,10331,9541,193
2020-08-24 12:00:00-03:00,10385,9601,196
2020-08-25 12:00:00-03:00,10428,9684,196
2020-08-26 12:00:00-03:00,10465,9738,196
