time,confirmed,recovered,deaths
2020-03-01 11:00:00-03:00,0,0,0
2020-03-02 11:00:00-03:00,0,0,0
2020-03-03 11:00:00-03:00,0,0,0
2020-03-04 11:00:00-03:00,0,0,0
2020-03-05 11:00:00-03:00,0,0,0
2020-03-06 11:00:00-03:00,0,0,0
2020-03-07 11:00:00-03:00,0,0,0
2020-03-08 11:00:00-03:00,0,0,0
2020-03-09 11:00:00-03:00,0,0,0
2020-03-10 11:00:00-03:00,0,0,0
2020-03-11 11:00:00-03:00,0,0,0
2020-03-12 11:00:00-03:00,0,0,0
2020-03-13 11:00:00-03:00,0,0,0
2020-03-14 11:00:00-03:00,0,0,0
2020-03-15 11:00:00-03:00,0,0,0
2020-03-16 11:00:00-03:00,1,0,0
2020-03-17 11:00:00-03:00,1,0,0
2020-03-18 11:00:00-03:00,1,0,0
2020-03-19 11:00:00-03:00,4,0,0
2020-03-20 11:00:00-03:00,5,0,0
2020-03-21 11:00:00-03:00,13,0,0
2020-03-22 11:00:00-03:00,16,0,0
2020-03-23 11:00:00-03:00,19,0,0
2020-03-24 11:00:00-03:00,25,0,0
2020-03-25 11:00:00-03:00,32,0,0
2020-03-26 11:00:00-03:00,44,0,0
2020-03-27 11:00:00-03:00,49,0,0
2020-03-28 11:00:00-03:00,71,0,0
2020-03-29 11:00:00-03:00,80,0,0
2020-03-30 11:00:00-03:00,108,0,0
2020-03-31 11:00:00-03:00,115,0,1
2020-04-01 11:00:00-03:00,136,0,1
2020-04-02 11:00:00-03:00,156,0,1
2020-04-03 11:00:00-03:00,176,0,1
2020-04-04 11:00:00-03:00,185,0,1
2020-04-05 11:00:00-03:00,191,0,1
2020-04-06 11:00:00-03:00,198,0,1
2020-04-07 11:00:00-03:00,214,0,1
2020-04-08 10:50:02-03:00,225,0,2
2020-04-09 10:30:03-03:00,230,0,2
2020-04-10 12:45:03-03:00,241,0,2
2020-04-11 12:05:27-03:00,248,0,2
2020-04-12 12:25:02-03:00,254,0,2
2020-04-13 11:05:03-03:00,273,0,2
2020-04-14 11:10:03-03:00,285,0,2
2020-04-15 11:20:03-03:00,299,0,2
2020-04-16 11:15:03-03:00,330,0,4
2020-04-17 11:10:02-03:00,345,0,4
2020-04-18 11:40:03-03:00,359,0,4
2020-04-19 12:15:02-03:00,381,0,5
2020-04-20 11:25:03-03:00,388,0,5
