Fecha,Región,Casos confirmados,Stgo_reg
2020-03-02,Maule,1,Regiones
2020-03-03,Maule,1,Regiones
2020-03-04,Metropolitana,2,Santiago
2020-03-05,Metropolitana,2,Santiago
2020-03-07,Maule,1,Regiones
2020-03-08,Maule,1,Regiones
2020-03-08,Metropolitana,1,Santiago
2020-03-11,Biobío,1,Regiones
2020-03-11,Los Lagos,1,Regiones
2020-03-11,Maule,3,Regiones
2020-03-11,Metropolitana,9,Santiago
2020-03-12,Metropolitana,9,Santiago
2020-03-12,Ñuble,1,Regiones
2020-03-13,Biobío,2,Regiones
2020-03-13,Maule,1,Regiones
2020-03-13,Metropolitana,6,Santiago
2020-03-13,Ñuble,1,Regiones
2020-03-14,Antofagasta,2,Regiones
2020-03-14,Atacama,1,Regiones
2020-03-14,Aysén,1,Regiones
2020-03-14,Maule,1,Regiones
2020-03-14,Metropolitana,10,Santiago
2020-03-14,Ñuble,2,Regiones
2020-03-15,Metropolitana,12,Santiago
2020-03-16,Araucanía,1,Regiones
2020-03-16,Biobío,1,Regiones
2020-03-16,Metropolitana,72,Santiago
2020-03-16,Ñuble,8,Regiones
2020-03-16,Valparaíso,1,Regiones
2020-03-17,Los Ríos,1,Regiones
2020-03-17,Magallanes,2,Regiones
2020-03-17,Metropolitana,29,Santiago
2020-03-17,Ñuble,14,Regiones
2020-03-18,Metropolitana,22,Santiago
2020-03-18,Maule,2,Regiones
2020-03-18,Biobío,3,Regiones
2020-03-18,Araucanía,3,Regiones
2020-03-18,Los Lagos,7,Regiones
2020-03-19,Coquimbo,2,Regiones
2020-03-19,Valparaíso,3,Regiones
2020-03-19,Metropolitana,73,Santiago
2020-03-19,O'Higgins,2,Regiones
2020-03-19,Maule,3,Regiones
2020-03-19,Ñuble,2,Regiones
2020-03-19,Biobío,7,Regiones
2020-03-19,Araucanía,3,Regiones
2020-03-19,Los Lagos,8,Regiones
2020-03-19,Arica y Parinacota,1,Regiones
2020-03-20,Antofagasta,4,Regiones
2020-03-20,Coquimbo,1,Regiones
2020-03-20,Valparaíso,1,Regiones
2020-03-20,Metropolitana,57,Santiago
2020-03-20,O’Higgins,4,Regiones
2020-03-20,Ñuble,16,Regiones
2020-03-20,Biobío,5,Regiones
2020-03-20,Araucanía,2,Regiones
2020-03-20,Los Lagos,2,Regiones
2020-03-21,Antofagasta,4,Regiones
2020-03-21,Valparaíso,8,Regiones
2020-03-21,Metropolitana,55,Santiago
2020-03-21,O'Higgins,1,Regiones
2020-03-21,Maule,1,Regiones
2020-03-21,Ñuble,14,Regiones
2020-03-21,Biobío,11,Regiones
2020-03-21,Araucanía,6,Regiones
2020-03-21,Los Lagos,2,Regiones
2020-03-21,Magallanes,1,Regiones
